UsageDate,ServiceName,Region,ProjectTag,CostINR
2023-01-12,EBS/Storage,ap-southeast-1,Project:Marketing,409.67
2023-01-12,Lambda/Functions,us-east-1,Project:Analytics,225.31
2023-01-13,ElastiCache/Cache,ap-south-1,Project:Staging,223.67
2023-01-13,CloudFront/CDN,us-west-2,Project:Analytics,458.81
2023-01-13,S3/Storage,us-east-1,Project:Development,282.81
2023-01-13,EC2/Compute,us-east-1,Project:Development,1945.12
2023-01-14,EBS/Storage,ap-south-1,Project:Development,223.99
2023-01-14,RDS/Database,eu-west-1,Project:Backup,878.16
2023-01-14,S3/Storage,us-east-1,Project:Production,366.51
2023-01-14,VPC/Networking,us-west-2,Project:Marketing,127.9
2023-01-15,S3/Storage,eu-west-1,Project:Marketing,298.52
2023-01-15,CloudFront/CDN,eu-west-1,Project:Development,456.6
2023-01-16,CloudFront/CDN,ap-south-1,Project:Staging,722.1
2023-01-16,ElastiCache/Cache,eu-west-1,Project:Production,326.51
2023-01-16,RDS/Database,us-west-2,Project:Marketing,1033.78
2023-01-16,VPC/Networking,us-east-1,Project:Testing,284.34
2023-01-16,EC2/Compute,us-west-2,Project:Marketing,1312.33
2023-01-17,ElastiCache/Cache,us-east-1,Project:Marketing,118.1
2023-01-17,CloudFront/CDN,eu-west-1,Project:Testing,180.01
2023-01-17,EBS/Storage,us-east-1,Project:Development,333.14
2023-01-17,EC2/Compute,ap-south-1,Project:Analytics,1886.56
2023-01-17,S3/Storage,ap-south-1,Project:Testing,400.22
2023-01-17,RDS/Database,us-west-2,Project:Production,965.34
2023-01-18,S3/Storage,ap-south-1,Project:Analytics,426.26
2023-01-18,VPC/Networking,us-west-2,Project:Development,246.56
2023-01-18,ElastiCache/Cache,us-west-2,Project:Staging,321.55
2023-01-19,EC2/Compute,us-east-1,Project:Analytics,1249.17
2023-01-19,S3/Storage,ap-southeast-1,Project:Staging,342.31
2023-01-19,RDS/Database,ap-southeast-1,Project:Finance,1282.61
2023-01-19,EBS/Storage,ap-southeast-1,Project:Staging,283.91
2023-01-20,VPC/Networking,ap-south-1,Project:Analytics,294.48
2023-01-20,Lambda/Functions,ap-southeast-1,Project:Finance,211.83
2023-01-20,EC2/Compute,us-east-1,Project:Marketing,1358.54
2023-01-20,S3/Storage,ap-south-1,Project:Finance,400.98
2023-01-21,CloudFront/CDN,ap-south-1,Project:Marketing,1720.36
2023-01-21,S3/Storage,eu-west-1,Project:Finance,225.99
2023-01-22,ElastiCache/Cache,us-east-1,Project:Marketing,176.67
2023-01-22,CloudFront/CDN,us-east-1,Project:Finance,231.79
2023-01-22,S3/Storage,eu-west-1,Project:Production,251.69
2023-01-22,Lambda/Functions,us-east-1,Project:Staging,123.64
2023-01-23,EC2/Compute,us-west-2,Project:Development,1432.62
2023-01-23,RDS/Database,ap-southeast-1,Project:Finance,674.96
2023-01-23,S3/Storage,ap-southeast-1,Project:Staging,350.52
2023-01-23,VPC/Networking,ap-southeast-1,Project:Analytics,278.19
2023-01-23,Lambda/Functions,us-west-2,Project:Marketing,196.11
2023-01-23,ElastiCache/Cache,us-east-1,Project:Marketing,221.25
2023-01-24,ElastiCache/Cache,ap-south-1,Project:Staging,258.82
2023-01-24,VPC/Networking,us-west-2,Project:Production,272.6
2023-01-24,S3/Storage,us-west-2,Project:Testing,856.49
2023-01-24,RDS/Database,ap-southeast-1,Project:Backup,1537.45
2023-01-24,EBS/Storage,ap-southeast-1,Project:Development,313.33
2023-01-25,S3/Storage,us-west-2,Project:Development,384.58
2023-01-25,EBS/Storage,ap-south-1,Project:Backup,347.59
2023-01-25,ElastiCache/Cache,ap-southeast-1,Project:Finance,122.34
2023-01-26,ElastiCache/Cache,us-west-2,Project:Marketing,238.71
2023-01-26,RDS/Database,eu-west-1,Project:Development,1036.13
2023-01-26,S3/Storage,eu-west-1,Project:Staging,421.5
2023-01-26,Lambda/Functions,eu-west-1,Project:Backup,186.55
2023-01-26,EBS/Storage,ap-southeast-1,Project:Backup,324.46
2023-01-26,CloudFront/CDN,ap-south-1,Project:Backup,844.42
2023-01-27,EBS/Storage,us-east-1,Project:Analytics,231.24
2023-01-27,VPC/Networking,ap-south-1,Project:Backup,336.02
2023-01-27,S3/Storage,us-west-2,Project:Analytics,465.72
2023-01-27,ElastiCache/Cache,ap-south-1,Project:Production,281.73
2023-01-28,Lambda/Functions,ap-southeast-1,Project:Staging,185.37
2023-01-28,EC2/Compute,eu-west-1,Project:Analytics,713.12
2023-01-28,EBS/Storage,eu-west-1,Project:Analytics,176.73
2023-01-28,RDS/Database,ap-southeast-1,Project:Finance,839.32
2023-01-29,RDS/Database,us-west-2,Project:Production,1132.97
2023-01-29,Lambda/Functions,ap-southeast-1,Project:Testing,117.83
2023-01-29,EBS/Storage,ap-south-1,Project:Production,172.12
2023-01-30,EC2/Compute,us-west-2,Project:Backup,1608.14
2023-01-30,EBS/Storage,ap-southeast-1,Project:Production,332.49
2023-01-30,Lambda/Functions,ap-southeast-1,Project:Marketing,120.1
2023-01-30,RDS/Database,ap-southeast-1,Project:Marketing,914.37
2023-01-31,ElastiCache/Cache,ap-south-1,Project:Testing,181.29
2023-01-31,VPC/Networking,us-east-1,Project:Production,192.1
2023-01-31,S3/Storage,us-west-2,Project:Staging,438.79
2023-02-01,VPC/Networking,us-west-2,Project:Development,212.68
2023-02-01,Lambda/Functions,ap-southeast-1,Project:Analytics,181.63
2023-02-01,RDS/Database,us-west-2,Project:Development,557.26
2023-02-01,S3/Storage,us-west-2,Project:Development,418.83
2023-02-01,CloudFront/CDN,us-west-2,Project:Marketing,323.67
2023-02-01,ElastiCache/Cache,us-east-1,Project:Marketing,166.53
2023-02-02,EBS/Storage,us-east-1,Project:Finance,490.62
2023-02-02,S3/Storage,ap-south-1,Project:Analytics,400.58
2023-02-02,CloudFront/CDN,ap-southeast-1,Project:Development,421.14
2023-02-02,RDS/Database,ap-southeast-1,Project:Testing,962.49
2023-02-02,EC2/Compute,eu-west-1,Project:Backup,1286.14
2023-02-03,EBS/Storage,us-west-2,Project:Backup,284.49
2023-02-03,ElastiCache/Cache,eu-west-1,Project:Staging,125.16
2023-02-03,Lambda/Functions,us-east-1,Project:Marketing,101.15
2023-02-03,CloudFront/CDN,ap-southeast-1,Project:Finance,1969.27
2023-02-03,RDS/Database,us-west-2,Project:Backup,855.71
2023-02-04,CloudFront/CDN,ap-southeast-1,Project:Backup,298.27
2023-02-04,RDS/Database,us-west-2,Project:Development,467.96
2023-02-04,VPC/Networking,eu-west-1,Project:Production,153.16
2023-02-05,VPC/Networking,us-east-1,Project:Marketing,115.8
2023-02-05,ElastiCache/Cache,ap-southeast-1,Project:Backup,136.18
2023-02-06,CloudFront/CDN,ap-southeast-1,Project:Finance,590.8
2023-02-06,VPC/Networking,ap-south-1,Project:Finance,225.3
2023-02-06,ElastiCache/Cache,ap-southeast-1,Project:Marketing,127.3
2023-02-06,RDS/Database,us-west-2,Project:Development,938.02
2023-02-07,VPC/Networking,ap-south-1,Project:Marketing,241.13
2023-02-07,EBS/Storage,eu-west-1,Project:Production,312.51
2023-02-07,S3/Storage,us-west-2,Project:Backup,228.58
2023-02-07,ElastiCache/Cache,us-west-2,Project:Marketing,519.21
2023-02-07,CloudFront/CDN,us-west-2,Project:Marketing,519.68
2023-02-08,VPC/Networking,ap-southeast-1,Project:Finance,242.94
2023-02-08,Lambda/Functions,us-east-1,Project:Marketing,222.81
2023-02-08,EC2/Compute,ap-southeast-1,Project:Development,1134.94
2023-02-08,RDS/Database,ap-south-1,Project:Marketing,889.26
2023-02-08,CloudFront/CDN,ap-southeast-1,Project:Backup,327.09
2023-02-09,S3/Storage,us-east-1,Project:Analytics,240.68
2023-02-09,CloudFront/CDN,ap-south-1,Project:Staging,395.35
2023-02-09,RDS/Database,eu-west-1,Project:Development,626.95
2023-02-10,EBS/Storage,ap-southeast-1,Project:Backup,343.57
2023-02-10,Lambda/Functions,us-east-1,Project:Staging,161.66
2023-02-10,S3/Storage,ap-southeast-1,Project:Marketing,808.86
2023-02-10,RDS/Database,eu-west-1,Project:Development,973.16
2023-02-10,CloudFront/CDN,us-west-2,Project:Development,404.51
2023-02-10,ElastiCache/Cache,ap-south-1,Project:Production,196.91
2023-02-11,VPC/Networking,ap-south-1,Project:Staging,110.9
2023-02-11,ElastiCache/Cache,us-west-2,Project:Marketing,213.42
2023-02-11,EC2/Compute,ap-south-1,Project:Staging,979.36
2023-02-12,RDS/Database,us-west-2,Project:Marketing,413.52
2023-02-12,EBS/Storage,ap-southeast-1,Project:Marketing,166.61
2023-02-12,EC2/Compute,ap-south-1,Project:Marketing,949.23
2023-02-13,VPC/Networking,us-west-2,Project:Backup,125.33
2023-02-13,CloudFront/CDN,eu-west-1,Project:Production,318.03
2023-02-13,EC2/Compute,ap-south-1,Project:Production,1188.28
2023-02-13,Lambda/Functions,us-east-1,Project:Development,169.19
2023-02-13,ElastiCache/Cache,ap-southeast-1,Project:Finance,213.95
2023-02-14,CloudFront/CDN,ap-southeast-1,Project:Finance,358.48
2023-02-14,ElastiCache/Cache,eu-west-1,Project:Analytics,191.3
2023-02-14,S3/Storage,eu-west-1,Project:Development,367.44
2023-02-14,VPC/Networking,ap-south-1,Project:Production,210.5
2023-02-14,Lambda/Functions,eu-west-1,Project:Analytics,104.19
2023-02-14,EC2/Compute,eu-west-1,Project:Marketing,1327.17
2023-02-15,CloudFront/CDN,us-west-2,Project:Marketing,409.47
2023-02-15,Lambda/Functions,eu-west-1,Project:Backup,108.1
2023-02-15,VPC/Networking,ap-southeast-1,Project:Backup,209.56
2023-02-15,EC2/Compute,us-west-2,Project:Finance,943.26
2023-02-15,ElastiCache/Cache,us-west-2,Project:Testing,207.08
2023-02-15,EBS/Storage,ap-southeast-1,Project:Development,1069.04
2023-02-16,EBS/Storage,us-east-1,Project:Backup,320.61
2023-02-16,EC2/Compute,us-west-2,Project:Backup,1530.09
2023-02-16,S3/Storage,eu-west-1,Project:Marketing,198.48
2023-02-17,ElastiCache/Cache,us-west-2,Project:Testing,139.09
2023-02-17,VPC/Networking,ap-southeast-1,Project:Backup,230.69
2023-02-17,S3/Storage,eu-west-1,Project:Analytics,341.81
2023-02-17,EBS/Storage,ap-south-1,Project:Backup,495.41
2023-02-17,Lambda/Functions,ap-south-1,Project:Marketing,170.86
2023-02-17,CloudFront/CDN,eu-west-1,Project:Marketing,455.75
2023-02-18,RDS/Database,ap-southeast-1,Project:Analytics,657.45
2023-02-18,S3/Storage,us-west-2,Project:Backup,195.31
2023-02-18,EBS/Storage,us-west-2,Project:Analytics,226.84
2023-02-18,Lambda/Functions,ap-southeast-1,Project:Production,131.29
2023-02-19,VPC/Networking,us-east-1,Project:Backup,168.2
2023-02-19,EBS/Storage,ap-southeast-1,Project:Production,142.57
2023-02-20,CloudFront/CDN,us-east-1,Project:Analytics,215.41
2023-02-20,VPC/Networking,us-east-1,Project:Backup,236.66
2023-02-20,RDS/Database,ap-southeast-1,Project:Development,760.16
2023-02-20,ElastiCache/Cache,us-west-2,Project:Marketing,287.0
2023-02-20,EC2/Compute,ap-south-1,Project:Analytics,1064.93
2023-02-20,Lambda/Functions,ap-southeast-1,Project:Production,154.6
2023-02-21,RDS/Database,us-west-2,Project:Testing,1028.17
2023-02-21,VPC/Networking,us-west-2,Project:Backup,147.6
2023-02-21,EC2/Compute,eu-west-1,Project:Finance,723.49
2023-02-21,EBS/Storage,ap-south-1,Project:Analytics,256.61
2023-02-21,ElastiCache/Cache,us-west-2,Project:Analytics,160.38
2023-02-22,RDS/Database,eu-west-1,Project:Marketing,852.06
2023-02-22,VPC/Networking,us-west-2,Project:Development,165.18
2023-02-22,ElastiCache/Cache,ap-southeast-1,Project:Marketing,212.77
2023-02-22,Lambda/Functions,ap-southeast-1,Project:Marketing,124.46
2023-02-23,Lambda/Functions,eu-west-1,Project:Marketing,126.9
2023-02-23,CloudFront/CDN,us-east-1,Project:Staging,408.85
2023-02-23,RDS/Database,eu-west-1,Project:Production,1241.81
2023-02-23,ElastiCache/Cache,eu-west-1,Project:Staging,190.39
2023-02-23,EBS/Storage,us-east-1,Project:Backup,124.74
2023-02-23,S3/Storage,ap-southeast-1,Project:Marketing,1613.96
2023-02-24,S3/Storage,us-east-1,Project:Finance,243.16
2023-02-24,Lambda/Functions,us-west-2,Project:Development,126.53
2023-02-24,VPC/Networking,us-east-1,Project:Marketing,245.24
2023-02-24,RDS/Database,ap-southeast-1,Project:Testing,910.73
2023-02-24,CloudFront/CDN,us-east-1,Project:Marketing,392.72
2023-02-25,EBS/Storage,eu-west-1,Project:Development,162.13
2023-02-25,VPC/Networking,us-west-2,Project:Marketing,172.17
2023-02-25,CloudFront/CDN,ap-southeast-1,Project:Marketing,198.14
2023-02-25,RDS/Database,us-east-1,Project:Testing,498.94
2023-02-26,EBS/Storage,ap-south-1,Project:Finance,148.06
2023-02-26,ElastiCache/Cache,ap-southeast-1,Project:Production,183.65
2023-02-27,RDS/Database,eu-west-1,Project:Development,554.07
2023-02-27,ElastiCache/Cache,eu-west-1,Project:Analytics,200.48
2023-02-27,VPC/Networking,ap-southeast-1,Project:Production,248.7
2023-02-28,RDS/Database,eu-west-1,Project:Analytics,1065.6
2023-02-28,ElastiCache/Cache,ap-south-1,Project:Testing,160.04
2023-02-28,VPC/Networking,us-east-1,Project:Marketing,254.54
2023-02-28,EC2/Compute,us-east-1,Project:Development,752.82
2023-02-28,Lambda/Functions,ap-southeast-1,Project:Development,232.24
2023-03-01,EBS/Storage,ap-south-1,Project:Analytics,208.2
2023-03-01,EC2/Compute,us-west-2,Project:Backup,1449.29
2023-03-01,Lambda/Functions,us-west-2,Project:Finance,116.6
2023-03-01,VPC/Networking,eu-west-1,Project:Production,224.81
2023-03-02,Lambda/Functions,eu-west-1,Project:Staging,112.92
2023-03-02,RDS/Database,ap-south-1,Project:Staging,758.48
2023-03-02,S3/Storage,ap-south-1,Project:Staging,208.89
2023-03-02,EC2/Compute,us-west-2,Project:Production,364.32
2023-03-02,VPC/Networking,us-east-1,Project:Backup,199.39
2023-03-03,CloudFront/CDN,us-east-1,Project:Testing,1827.14
2023-03-03,S3/Storage,us-west-2,Project:Development,270.25
2023-03-03,EBS/Storage,us-west-2,Project:Testing,162.58
2023-03-03,VPC/Networking,us-east-1,Project:Marketing,285.06
2023-03-04,VPC/Networking,us-west-2,Project:Marketing,192.81
2023-03-04,EC2/Compute,ap-southeast-1,Project:Development,545.15
2023-03-05,EBS/Storage,us-west-2,Project:Production,177.66
2023-03-05,ElastiCache/Cache,ap-south-1,Project:Development,164.69
2023-03-05,RDS/Database,ap-south-1,Project:Marketing,427.91
2023-03-06,EBS/Storage,eu-west-1,Project:Testing,215.21
2023-03-06,EC2/Compute,ap-southeast-1,Project:Development,1355.77
2023-03-06,Lambda/Functions,ap-southeast-1,Project:Development,159.48
2023-03-07,CloudFront/CDN,us-west-2,Project:Analytics,416.7
2023-03-07,RDS/Database,us-east-1,Project:Finance,1131.73
2023-03-07,Lambda/Functions,us-east-1,Project:Staging,137.31
2023-03-07,ElastiCache/Cache,ap-southeast-1,Project:Analytics,212.52
2023-03-07,VPC/Networking,ap-southeast-1,Project:Analytics,206.14
2023-03-08,EC2/Compute,ap-southeast-1,Project:Finance,1394.66
2023-03-08,VPC/Networking,us-east-1,Project:Development,139.93
2023-03-08,S3/Storage,us-east-1,Project:Finance,466.05
2023-03-08,ElastiCache/Cache,ap-south-1,Project:Production,93.37
2023-03-08,Lambda/Functions,ap-south-1,Project:Finance,146.21
2023-03-09,ElastiCache/Cache,eu-west-1,Project:Production,221.16
2023-03-09,EBS/Storage,eu-west-1,Project:Staging,222.12
2023-03-09,CloudFront/CDN,eu-west-1,Project:Finance,384.27
2023-03-09,VPC/Networking,ap-south-1,Project:Production,172.82
2023-03-09,RDS/Database,ap-southeast-1,Project:Staging,684.51
2023-03-09,EC2/Compute,ap-south-1,Project:Staging,1301.51
2023-03-10,CloudFront/CDN,eu-west-1,Project:Development,487.83
2023-03-10,RDS/Database,us-east-1,Project:Development,670.41
2023-03-10,S3/Storage,eu-west-1,Project:Testing,327.44
2023-03-10,VPC/Networking,ap-south-1,Project:Analytics,220.81
2023-03-10,EC2/Compute,us-west-2,Project:Analytics,1489.87
2023-03-11,EBS/Storage,eu-west-1,Project:Backup,140.65
2023-03-11,RDS/Database,ap-south-1,Project:Production,657.09
2023-03-12,RDS/Database,ap-south-1,Project:Backup,654.49
2023-03-12,ElastiCache/Cache,us-west-2,Project:Development,109.87
2023-03-12,Lambda/Functions,us-east-1,Project:Marketing,126.36
2023-03-13,CloudFront/CDN,ap-southeast-1,Project:Analytics,345.68
2023-03-13,EC2/Compute,us-east-1,Project:Staging,1210.68
2023-03-13,ElastiCache/Cache,ap-southeast-1,Project:Staging,207.52
2023-03-13,Lambda/Functions,eu-west-1,Project:Finance,200.72
2023-03-13,S3/Storage,us-west-2,Project:Testing,313.18
2023-03-14,VPC/Networking,ap-southeast-1,Project:Marketing,258.61
2023-03-14,EBS/Storage,ap-south-1,Project:Backup,305.18
2023-03-14,S3/Storage,us-east-1,Project:Backup,288.94
2023-03-14,Lambda/Functions,eu-west-1,Project:Analytics,143.88
2023-03-14,EC2/Compute,us-east-1,Project:Finance,1468.47
2023-03-15,Lambda/Functions,ap-southeast-1,Project:Marketing,152.99
2023-03-15,ElastiCache/Cache,us-east-1,Project:Development,168.46
2023-03-15,EC2/Compute,us-west-2,Project:Finance,1425.09
2023-03-15,EBS/Storage,us-west-2,Project:Finance,274.21
2023-03-15,S3/Storage,ap-south-1,Project:Analytics,403.72
2023-03-16,Lambda/Functions,us-west-2,Project:Testing,147.27
2023-03-16,RDS/Database,ap-south-1,Project:Backup,645.77
2023-03-16,S3/Storage,ap-southeast-1,Project:Backup,349.74
2023-03-16,EC2/Compute,us-east-1,Project:Testing,1247.29
2023-03-17,ElastiCache/Cache,eu-west-1,Project:Development,218.86
2023-03-17,Lambda/Functions,us-east-1,Project:Marketing,106.03
2023-03-17,EC2/Compute,us-east-1,Project:Production,1570.64
2023-03-17,VPC/Networking,ap-southeast-1,Project:Marketing,309.19
2023-03-17,S3/Storage,ap-south-1,Project:Production,227.92
2023-03-18,EBS/Storage,ap-south-1,Project:Production,205.38
2023-03-18,Lambda/Functions,ap-south-1,Project:Staging,123.34
2023-03-19,RDS/Database,us-east-1,Project:Finance,566.88
2023-03-19,Lambda/Functions,ap-southeast-1,Project:Testing,108.64
2023-03-19,EC2/Compute,us-east-1,Project:Testing,2727.73
2023-03-20,EBS/Storage,eu-west-1,Project:Development,210.92
2023-03-20,EC2/Compute,eu-west-1,Project:Analytics,1120.8
2023-03-20,CloudFront/CDN,ap-south-1,Project:Testing,322.4
2023-03-20,RDS/Database,ap-south-1,Project:Testing,782.61
2023-03-20,Lambda/Functions,ap-south-1,Project:Analytics,189.48
2023-03-21,ElastiCache/Cache,ap-south-1,Project:Development,157.08
2023-03-21,CloudFront/CDN,eu-west-1,Project:Testing,448.27
2023-03-21,Lambda/Functions,ap-southeast-1,Project:Finance,354.26
2023-03-22,VPC/Networking,us-west-2,Project:Testing,215.58
2023-03-22,S3/Storage,ap-south-1,Project:Testing,268.91
2023-03-22,Lambda/Functions,ap-south-1,Project:Production,133.09
2023-03-22,EBS/Storage,eu-west-1,Project:Development,269.56
2023-03-23,CloudFront/CDN,eu-west-1,Project:Backup,333.47
2023-03-23,RDS/Database,us-west-2,Project:Backup,2660.27
2023-03-23,VPC/Networking,ap-southeast-1,Project:Staging,131.73
2023-03-23,S3/Storage,us-west-2,Project:Backup,194.49
2023-03-24,CloudFront/CDN,us-west-2,Project:Testing,556.52
2023-03-24,ElastiCache/Cache,ap-south-1,Project:Analytics,197.17
2023-03-24,Lambda/Functions,us-east-1,Project:Backup,185.15
2023-03-24,VPC/Networking,ap-southeast-1,Project:Marketing,192.43
2023-03-25,EC2/Compute,us-west-2,Project:Backup,849.99
2023-03-25,S3/Storage,eu-west-1,Project:Development,204.95
2023-03-25,VPC/Networking,eu-west-1,Project:Backup,141.65
2023-03-25,CloudFront/CDN,us-west-2,Project:Analytics,213.31
2023-03-26,EBS/Storage,ap-southeast-1,Project:Finance,165.1
2023-03-26,EC2/Compute,us-east-1,Project:Finance,923.02
2023-03-27,EBS/Storage,ap-southeast-1,Project:Testing,287.26
2023-03-27,VPC/Networking,ap-southeast-1,Project:Backup,281.34
2023-03-27,ElastiCache/Cache,us-west-2,Project:Analytics,201.44
2023-03-27,RDS/Database,us-east-1,Project:Production,791.48
2023-03-27,S3/Storage,us-west-2,Project:Production,242.0
2023-03-28,VPC/Networking,eu-west-1,Project:Analytics,624.17
2023-03-28,RDS/Database,ap-southeast-1,Project:Production,732.14
2023-03-28,S3/Storage,ap-south-1,Project:Analytics,312.61
2023-03-28,Lambda/Functions,ap-southeast-1,Project:Backup,178.91
2023-03-28,EC2/Compute,ap-south-1,Project:Staging,1289.02
2023-03-29,CloudFront/CDN,eu-west-1,Project:Marketing,457.63
2023-03-29,VPC/Networking,ap-south-1,Project:Production,164.16
2023-03-29,EC2/Compute,ap-southeast-1,Project:Production,1228.36
2023-03-30,ElastiCache/Cache,ap-southeast-1,Project:Backup,281.77
2023-03-30,S3/Storage,us-west-2,Project:Production,416.03
2023-03-30,RDS/Database,eu-west-1,Project:Testing,1009.31
2023-03-30,EC2/Compute,us-west-2,Project:Development,986.86
2023-03-30,EBS/Storage,ap-southeast-1,Project:Production,309.88
2023-03-31,EC2/Compute,ap-south-1,Project:Backup,1889.99
2023-03-31,RDS/Database,us-west-2,Project:Marketing,649.7
2023-03-31,Lambda/Functions,eu-west-1,Project:Analytics,159.67
2023-04-01,RDS/Database,ap-southeast-1,Project:Backup,484.65
2023-04-01,VPC/Networking,us-east-1,Project:Finance,112.6
2023-04-02,S3/Storage,ap-south-1,Project:Marketing,185.72
2023-04-02,VPC/Networking,ap-southeast-1,Project:Finance,66.86
2023-04-02,Lambda/Functions,ap-southeast-1,Project:Development,86.62
2023-04-03,EC2/Compute,ap-southeast-1,Project:Finance,1795.29
2023-04-03,VPC/Networking,eu-west-1,Project:Analytics,252.08
2023-04-03,RDS/Database,ap-south-1,Project:Analytics,884.33
2023-04-03,CloudFront/CDN,eu-west-1,Project:Marketing,422.68
2023-04-04,EBS/Storage,ap-south-1,Project:Backup,629.61
2023-04-04,S3/Storage,ap-southeast-1,Project:Finance,261.51
2023-04-04,VPC/Networking,us-west-2,Project:Production,157.96
2023-04-05,Lambda/Functions,us-east-1,Project:Testing,222.79
2023-04-05,EC2/Compute,us-west-2,Project:Development,2760.65
2023-04-05,S3/Storage,ap-south-1,Project:Analytics,174.74
2023-04-05,CloudFront/CDN,ap-southeast-1,Project:Finance,527.68
2023-04-05,VPC/Networking,ap-southeast-1,Project:Finance,136.51
2023-04-06,RDS/Database,us-west-2,Project:Development,1067.47
2023-04-06,CloudFront/CDN,ap-southeast-1,Project:Staging,545.56
2023-04-06,EBS/Storage,eu-west-1,Project:Backup,247.46
2023-04-07,CloudFront/CDN,ap-southeast-1,Project:Production,361.81
2023-04-07,RDS/Database,us-west-2,Project:Testing,824.94
2023-04-07,S3/Storage,us-east-1,Project:Marketing,183.88
2023-04-07,VPC/Networking,ap-south-1,Project:Staging,204.11
2023-04-07,Lambda/Functions,ap-south-1,Project:Finance,176.69
2023-04-07,EBS/Storage,us-west-2,Project:Testing,216.62
2023-04-08,VPC/Networking,eu-west-1,Project:Development,161.07
2023-04-08,EC2/Compute,ap-south-1,Project:Development,882.05
2023-04-08,RDS/Database,eu-west-1,Project:Analytics,418.5
2023-04-08,CloudFront/CDN,ap-southeast-1,Project:Analytics,275.27
2023-04-09,ElastiCache/Cache,us-west-2,Project:Finance,169.51
2023-04-09,S3/Storage,us-east-1,Project:Development,153.92
2023-04-09,VPC/Networking,us-west-2,Project:Testing,168.14
2023-04-09,CloudFront/CDN,eu-west-1,Project:Testing,176.0
